SN_EOR_FK,GEO_MARKER_NAME,TOP_MD
-130811,LP-1G,5450.0
-130811,LP-2,5515.0
-115676,FX SD,7248.0
-115676,HA SD,7832.0
-115676,HE SD,8004.0
-115676,HF SD,8264.0
-115676,HI SD,
-115599,Base Salt,19288.0
-115599,Top Salt,11951.0
-115599,M6 (3D Seismic Amplitude Anomaly),
-115599,M21A Top,27918.0
-115842,U Sand,
-115649,Bul 15,12063.0
-115649,Bul 17,12284.0
-115649,Bul 18,12536.0
-115649,Cib R,12894.0
-115649,Cib R1,13531.0
-115649,Cib R1a,13850.0
-115649,Cib R2,14207.0
-115649,Cib R3,
-115649,Cib R4,
-115649,Tex X1,
-117932,11 Sand,14504.0
-117932,C-7 Sand,
-154595,C-11 Sand,13736.0
-160633,C-9 Sand,13470.0
-115859,B7 Sand,
-115859,B9 Sand,
-117223,IT RB Sand,10810.0
-163669,IT RB,10768.0
-164851,IT RB ,10768.0
-164851,IT RB Sand,10810.0
-116203,7300' Sand,7654.0
-116037,8600' Sand,10089.0
-147258,7750' Sand,9306.0
-147258,8600' Sand,10089.0
-147258,7900/7950' Sand,9457.0
-147258,7800' Sand,9359.0
-117807,M5 Sand,17179.0
-117807,M6 Sand,17262.0
-117807,M7.5 Sand,17526.0
-117807,M9-10 Sand,17607.0
-117807,L Sand,16368.0
-117807,M1 Sand,16930.0
-117807,M2 Sand,16998.0
-117807,M3 Sand,17039.0
-117807,M4 Sand,17102.0
-116204,HB-1 Sand ,3350.0
-115905,G Sand,8110.0
-116883,M1 Sand,17078.0
-116883,M2 Sand,17134.0
-116883,M3 Sand,17200.0
-116883,M4 Sand,17255.0
-116883,M5 Sand,17297.0
-116883,M6 Sand,17404.0
-116883,M7.5 Sand,17684.0
-116883,M9-10 Sand,17764.0
-116883,M8-9 Sand,17736.0
-116883,L Sand,16476.0
-116573,Rob (L)-5,8022.0
-116573,Rob (M)-2,8300.0
-116573,Rob (L)-2 ,
-115967,PLB3 Sand,4250.0
-115967,C-2 Sand,8661.0
-115967,D Sand,9152.0
-144471,PLB3 Sand,4260.0
-144471,C-2 Sand,8661.0
-144471,D Sand,9152.0
-116877,E30 Sand,7699.0
