Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports
"C0002430","1","SANAGA (IMO 7641102)","SANAGA (IMO 7641102): ","Panama","Bulk Dry","1999-10-14 00:00","","Very serious marine casualty","","About 700 miles E.N.E of Durban","","0",""
"C0002496","1","SAWAT (IMO 8220230)","SAWAT (IMO 8220230): ","Liberia","General Cargo","1999-10-14 00:00","","Marine casualty","","towed into Bahia Blanca","","0",""
"C0003082","1","JOSEPH & SISTERS","JOSEPH & SISTERS: ","Canada","Fish Catching","1999-10-14 00:00","","Very serious marine casualty","","Off Parsboro, Minas Basin, Bay of Fundy, Nova Scot","","1","Canada"
"C0003003","2","FUTURA (IMO 9020687), JUPITER (IMO 7341051)","FUTURA (IMO 9020687): , JUPITER (IMO 7341051): ","Finland, United Kingdom","Oil Tanker, Passenger/Ro-Ro Cargo","1999-10-12 00:00","","Very serious marine casualty","","North Atlantic Ocean","","1","United Kingdom"
"C0002475","1","ALISA CRAIG","ALISA CRAIG: ","Panama","Oil Tanker","1999-10-12 00:00","","Marine casualty","","off Kenya","","0",""
"C0002356","2","DELMAS DURVILLE (IMO 8122581), LONG KIM (IMO 8412467)","DELMAS DURVILLE (IMO 8122581): , LONG KIM (IMO 8412467): ","Hong Kong, China, Hong Kong, China","General Cargo, Bulk Dry","1999-10-12 00:00","","Marine casualty","","off West Africa","","0",""
"C0002495","1","PETRO FIFE (IMO 7389132)","PETRO FIFE (IMO 7389132): ","United Kingdom","Oil Tanker","1999-10-11 00:00","","Marine casualty","","North Sea","","0",""
"C0002498","1","LYSHOLMEN (IMO 8015879)","LYSHOLMEN (IMO 8015879): ","Norway","General Cargo","1999-10-10 00:00","","Marine casualty","","near Aberdeen","","0",""
"C0002499","1","MARIDIVE XII (IMO 8102062)","MARIDIVE XII (IMO 8102062): ","Egypt","Towing / Pushing","1999-10-10 00:00","","Very serious marine casualty","","7 Km from Baltim","","0",""
"C0002502","1","SOROCHINSK (IMO 7520023)","SOROCHINSK (IMO 7520023): ","Russian Federation","Fish Catching","1999-10-10 00:00","","Marine casualty","","Sea of Okhotsk","","0",""
"C0002500","1","NEFTERDUDUVOZ-7M","NEFTERDUDUVOZ-7M: ","Russian Federation","Non-ship structures","1999-10-09 00:00","","Marine casualty","","at Km 1333.5, River Neva","","0",""
"C0003395","2","CRAIG THE PIONEER (IMO 8519370), MAY BELL II","CRAIG THE PIONEER (IMO 8519370): , MAY BELL II: ","Liberia, Australia","Non-ship structures, Fish Catching","1999-10-09 00:00","","Marine casualty","","50 miles E of Newcastle, New South Wales","","1","Australia"
"C0002501","1","OCEAN WAVE (IMO 7314333)","OCEAN WAVE (IMO 7314333): ","Panama","Bulk Dry","1999-10-08 00:00","","Marine casualty","","near Mongla Port","","0",""
"C0002572","1","YICK HUA (IMO 8312136)","YICK HUA (IMO 8312136): ","Panama","Bulk Dry","1999-10-08 00:00","","Marine casualty","","No.15 Berth of Sorel, Quebec","","0",""
"C0002272","2","BROTHER HOPE (IMO 9085443), WAKA MARU (IMO 5384889)","BROTHER HOPE (IMO 9085443): , WAKA MARU (IMO 5384889): ","Panama, Unknown","General Cargo, ","1999-10-08 00:00","","Marine casualty","","Sea of Japan","","0",""
"C0002556","1","CANDELA (IMO 5100532)","CANDELA (IMO 5100532): ","Honduras","Research","1999-10-07 00:00","","Marine casualty","","Coco Solo","","0",""
"C0002510","1","PECHENGA (IMO 7710977)","PECHENGA (IMO 7710977): ","Russian Federation","Oil Tanker","1999-10-07 00:00","","Marine casualty","","Sea of Okhotsk","","0",""
"C0002508","1","JUNIOR M (IMO 7218096)","JUNIOR M (IMO 7218096): ","Egypt","General Cargo","1999-10-05 00:00","","Marine casualty","","St. Brieuc Bay","","0",""
"C0002509","1","MUNDOGAS EUROPE (IMO 6812508)","MUNDOGAS EUROPE (IMO 6812508): ","Liberia","Non-ship structures","1999-10-04 00:00","","Very serious marine casualty","","Subic Shipyard","","0",""
"C0002512","1","WESER ORE (IMO 7328932)","WESER ORE (IMO 7328932): ","Liberia","Non-ship structures","1999-10-04 00:00","","Marine casualty","","Tubarao","","0",""
"C0002513","1","XIN AN HAI (IMO 8414910)","XIN AN HAI (IMO 8414910): ","China","General Cargo","1999-10-04 00:00","","Marine casualty","","South China Sea","","0",""
"C0002507","1","GARNES (IMO 7810210)","GARNES (IMO 7810210): ","Saint Vincent and the Grenadines","General Cargo","1999-10-04 00:00","","Marine casualty","","near Bomlo, Norway","","0",""
"C0003006","1","ATLANTIC PROSPERITY (IMO 9106168)","ATLANTIC PROSPERITY (IMO 9106168): ","Panama","Oil Tanker","1999-10-04 00:00","","Marine casualty","","North Sea","","0",""
"C0002476","1","CANADIAN CENTURY (IMO 6714586)","CANADIAN CENTURY (IMO 6714586): ","Canada","Bulk Dry","1999-10-03 00:00","","Marine casualty","","Port Colborne","","0",""
"C0002330","1","PHOENIX II (IMO 7117046)","PHOENIX II (IMO 7117046): ","Cyprus","General Cargo","1999-10-03 00:00","","Very serious marine casualty","","","","0",""
"C0002506","1","091","091: ","Unknown","Fish Catching","1999-10-02 00:00","","Very serious marine casualty","","Sea of Okhotsk","","0",""
"C0003007","2","ENDEAVOUR (IMO 8805468), ENDURANCE (IMO 9191072)","ENDEAVOUR (IMO 8805468): , ENDURANCE (IMO 9191072): ","United Kingdom, United Kingdom","Fish Catching, Fish Catching","1999-10-02 00:00","","Marine casualty","","North Atlantic Ocean","","0",""
"C0002524","2","NO.102 DAE EO, TAIYOUNG SUN (IMO 9044152)","NO.102 DAE EO: , TAIYOUNG SUN (IMO 9044152): ","Unknown, Panama","Fish Catching, General Cargo","1999-10-01 00:00","","Very serious marine casualty","","Sea of Japan","","0",""
"C0002259","1","RACHEL HARVEY","RACHEL HARVEY: ","United Kingdom","Fish Catching","1999-10-01 00:00","","Very serious marine casualty","","Peninnis Head, Isles of Scilly","","1","United Kingdom"
"C0003050","1","STAMOS (IMO 8407694)","STAMOS (IMO 8407694): ","Greece","Bulk Dry","1999-09-30 00:00","","Marine casualty","","New Orleans","","0",""
"C0002530","2","EVER PRAISE (IMO 7917939), SHIN HEUNG NO.5","EVER PRAISE (IMO 7917939): , SHIN HEUNG NO.5: ","Panama, Unknown","Bulk Dry, Fish Catching","1999-09-29 00:00","","Very serious marine casualty","","","","0",""
"C0002503","1","HYUNDAI SPIRIT (IMO 9021461)","HYUNDAI SPIRIT (IMO 9021461): ","Panama","Bulk Dry","1999-09-28 00:00","","Marine casualty","","Boryung, west coast of North Korea","","0",""
"C0002505","1","PETRO STELLA (IMO 7353494)","PETRO STELLA (IMO 7353494): ","Malaysia","Oil Tanker","1999-09-27 00:00","","Very serious marine casualty","","Port Dickson","","0",""
"C0002564","1","CAPE PROVIDENCE (IMO 8600571)","CAPE PROVIDENCE (IMO 8600571): ","Panama","Bulk Dry","1999-09-27 00:00","","Marine casualty","","Indian Ocean","","0",""
"C0002991","2","GULF BREEZE (IMO 8872318), LA CORVETTE (IMO 8847193)","GULF BREEZE (IMO 8872318): , LA CORVETTE (IMO 8847193): ","Malta, France","Towing / Pushing, Fish Catching","1999-09-27 00:00","","Marine casualty","","","","0",""
"C0002567","1","AILSA CRAIG (IMO 7349950)","AILSA CRAIG (IMO 7349950): ","Panama","Oil Tanker","1999-09-26 00:00","","Marine casualty","","","","0",""
"C0002493","1","AVRA K (IMO 7204679)","AVRA K (IMO 7204679): ","Panama","General Cargo","1999-09-26 00:00","","Marine casualty","","Arrived in Koper","","0",""
"C0002497","1","D. L. HANSON","D. L. HANSON: ","United States","","1999-09-25 00:00","","Very serious marine casualty","","near Aransas Pass, Gulf of Mexico","","0",""
"C0002504","1","OCEAN SAMPAGUITA (IMO 9015802)","OCEAN SAMPAGUITA (IMO 9015802): ","Philippines","General Cargo","1999-09-24 00:00","","Marine casualty","","Hisyakuda-Higashi Breakwater, Mojiko, Kitakyushu","","0",""
"C0002511","1","SEA HOPE (IMO 8510659)","SEA HOPE (IMO 8510659): ","Republic of Korea","General Cargo","1999-09-24 00:00","","Marine casualty","","Korea Straight, Sea of Japan","","0",""
"C0002565","1","SMILLY (IMO 8505147)","SMILLY (IMO 8505147): ","Panama","Refrigerated Cargo","1999-09-24 00:00","","Very serious marine casualty","","Kagoshima port","","0",""
"C0002553","2","HIMETAKA MARU (IMO 9118757), SIRIUS GAS (IMO 8029674)","HIMETAKA MARU (IMO 9118757): , SIRIUS GAS (IMO 8029674): ","Japan, Panama","Oil Tanker, Non-ship structures","1999-09-24 00:00","","Marine casualty","","Tokuyama Anchorage","","0",""
"C0002549","1","WOO DONG (IMO 9085168)","WOO DONG (IMO 9085168): ","Panama","Chemical Tanker","1999-09-24 00:00","","Marine casualty","","Off Hirao, off Nagashima Island","","0",""
"C0002527","2","DANAU TOBA (IMO 9146132), MAKI MARU (IMO 9003897)","DANAU TOBA (IMO 9146132): , MAKI MARU (IMO 9003897): ","Panama, Japan","General Cargo, General Cargo","1999-09-23 00:00","","Marine casualty","","Kurushima Strait","","0",""
"C0002516","1","PRINCESS OF SCANDINAVIA (IMO 7361324)","PRINCESS OF SCANDINAVIA (IMO 7361324): ","Denmark","Non-ship structures","1999-09-23 00:00","","Marine casualty","","to be repaired at Frederikshavn","","0",""
"C0002515","1","DONINGTON (IMO 7424463)","DONINGTON (IMO 7424463): ","Norway","Non-ship structures","1999-09-22 00:00","","Marine casualty","","River Weser","","0",""
"C0003008","1","ORMAZA (IMO 7333640)","ORMAZA (IMO 7333640): ","Spain","Fish Catching","1999-09-20 00:00","","Very serious marine casualty","","North Atlantic Ocean","","0",""
"C0006259","1","TROPICALE (IMO 7915096)","TROPICALE (IMO 7915096): ","Liberia","Passenger","1999-09-19 18:05","","Marine casualty","25° 25.00' N 84° 14.00' W","120 miles S.W. of Florida, Gulf of Mexico","","2","Liberia; Liberia"
"C0002514","1","ARNSTEIN (IMO 5031963)","ARNSTEIN (IMO 5031963): ","Norway","General Cargo","1999-09-17 00:00","","Marine casualty","","in Hjornundfjord","","0",""
"C0002519","1","SKOWHEGAN (IMO 8004208)","SKOWHEGAN (IMO 8004208): ","Liberia","Oil Tanker","1999-09-16 00:00","","Marine casualty","","Suez","","0",""
"C0002539","2","NOBLE JIM THOMPSON, SENCOR VANTAGE","NOBLE JIM THOMPSON: , SENCOR VANTAGE: ","Panama, Unknown",", ","1999-09-16 00:00","","Marine casualty","","Gulf of Mexico","","0",""
"C0002518","1","GULF MAJESTY (IMO 7502394)","GULF MAJESTY (IMO 7502394): ","United States","Towing / Pushing","1999-09-15 00:00","","Very serious marine casualty","","off Jacksonville","","0",""
"C0003004","1","JACOB VAN HEEMKERCK","JACOB VAN HEEMKERCK: ","Netherlands (Kingdom of)","General Cargo","1999-09-15 00:00","","Marine casualty","","3 nm WSW of Eilean Glas Lighthouse","","0",""
"C0002468","1","DOXA (IMO 7919901)","DOXA (IMO 7919901): ","Bahamas","Chemical Tanker","1999-09-14 00:00","","Marine casualty","","","","0",""
"C0002401","1","NEW CAPELLA (IMO 9001021)","NEW CAPELLA (IMO 9001021): ","Panama","General Cargo","1999-09-14 00:00","","Marine casualty","","near Hinomisaki","","0",""
"C0002517","1","CHILEAN REEFER (IMO 8917546)","CHILEAN REEFER (IMO 8917546): ","Denmark","Refrigerated Cargo","1999-09-13 00:00","","Marine casualty","","entering Vridi Canal","","0",""
"C0002571","1","EASTERN HOPE (IMO 8407773)","EASTERN HOPE (IMO 8407773): ","Panama","General Cargo","1999-09-13 00:00","","Marine casualty","","Pacific Ocean","","0",""
"C0002536","1","PERGAMOS (IMO 7396496)","PERGAMOS (IMO 7396496): ","Panama","Oil Tanker","1999-09-12 00:00","","Marine casualty","","Samso Belt (Hatterbarn Reef)","","0",""
"C0002520","1","VOLGA-4003 (IMO 8624280)","VOLGA-4003 (IMO 8624280): ","Russian Federation","General Cargo","1999-09-10 00:00","","Marine casualty","","Golgan Island","","0",""
"C0002521","1","X-PRESS JAYA (IMO 8017944)","X-PRESS JAYA (IMO 8017944): ","Singapore","Container","1999-09-10 00:00","","Marine casualty","","90 miles off Jebal Ali","","0",""
"C0002408","1","JASPER III (IMO 7107948)","JASPER III (IMO 7107948): ","United Kingdom","Fish Catching","1999-09-10 00:00","","Very serious marine casualty","","90 miles N.E. of Fraserburgh","","1","United Kingdom"
"C0002391","1","SHUN  LONG","SHUN  LONG: ","China","","1999-09-08 00:00","","Very serious marine casualty","","off Ninepin Islands","","0",""
"C0002431","1","WELL SPEEDER (IMO 7404700)","WELL SPEEDER (IMO 7404700): ","Saint Vincent and the Grenadines","Bulk Dry","1999-09-06 00:00","","Very serious marine casualty","","between Mauritius and Reunion","","0",""
"C0002366","1","METHANE POLAR (IMO 6901892)","METHANE POLAR (IMO 6901892): ","Singapore","Non-ship structures","1999-09-06 00:00","","Marine casualty","","","","0",""
"C0002566","1","HEREFORDSHIRE (IMO 8417900)","HEREFORDSHIRE (IMO 8417900): ","Panama","Oil Tanker","1999-09-06 00:00","","Marine casualty","","","","0",""
"C0002523","1","KRISTINA (IMO 7330090)","KRISTINA (IMO 7330090): ","Malta","General Cargo","1999-09-03 00:00","","Very serious marine casualty","","Black Sea","","0",""
"C0002403","2","PHILOMENA (IMO 7015456), UNION ARBO (IMO 8401535)","PHILOMENA (IMO 7015456): , UNION ARBO (IMO 8401535): ","United Kingdom, Bahamas","Fish Catching, General Cargo","1999-09-02 00:00","","Marine casualty","","South of Mounts Bay","","0",""
"C0002386","1","GORGONA (IMO 7912991)","GORGONA (IMO 7912991): ","Italy","Chemical Tanker","1999-09-01 00:00","","Marine casualty","","","","0",""
"C0002266","1","SONIA (IMO 6923072)","SONIA (IMO 6923072): ","Saint Vincent and the Grenadines","General Cargo","1999-09-01 00:00","","Marine casualty","","Off Sandown Bay, Isle of Wight","","0",""
"C0002535","1","PETROMAYA (IMO 7611781)","PETROMAYA (IMO 7611781): ","Panama","Non-ship structures","1999-09-01 00:00","","Marine casualty","","Belize Channel","","0",""
"C0002557","1","TRADEWIND SPIRIT (IMO 7414743)","TRADEWIND SPIRIT (IMO 7414743): ","Panama","Oil Tanker","1999-09-01 00:00","","Very serious marine casualty","","El Palito","","0",""
"C0002522","1","KARYA SENTOSA (IMO 7228613)","KARYA SENTOSA (IMO 7228613): ","Indonesia","General Cargo","1999-08-31 00:00","","Marine casualty","","Chittagong","","0",""
"C0002433","1","AGGELIKI P (IMO 7405546)","AGGELIKI P (IMO 7405546): ","Cyprus","Bulk Dry","1999-08-30 00:00","","Marine casualty","","River Parana KM 288","","0",""
"C0003005","1","CAPE VINCENTE (IMO 8911475)","CAPE VINCENTE (IMO 8911475): ","Antigua and Barbuda","Refrigerated Cargo","1999-08-30 00:00","","Marine casualty","","North Atlantic Ocean","","0",""
"C0002390","1","ROLAND & SISTERS","ROLAND & SISTERS: ","Canada","Fish Catching","1999-08-29 00:00","","Very serious marine casualty","","6 miles SE of Pearl Island","","0",""
"C0002384","2","BARBAROSSA (IMO 7910905), SANTA BARUNA (IMO 6609365)","BARBAROSSA (IMO 7910905): , SANTA BARUNA (IMO 6609365): ","Antigua and Barbuda, Indonesia","Container, General Cargo","1999-08-29 00:00","","Marine casualty","","Kepulauan Seribu, Java Sea","","0",""
"C0002322","1","IRIS I (IMO 7383932)","IRIS I (IMO 7383932): ","Saint Vincent and the Grenadines","General Cargo","1999-08-29 00:00","","Very serious marine casualty","","Bay of Biscay","","0",""
"C0002866","1","VANESSA C (IMO 7367914)","VANESSA C (IMO 7367914): ","Barbados","General Cargo","1999-08-29 00:00","","Marine casualty","","Great Yarmouth Harbour","","0",""
"C0002385","1","BEBEDOURO (IMO 8503773)","BEBEDOURO (IMO 8503773): ","Liberia","Oil Tanker","1999-08-28 00:00","","Marine casualty","","In Canal after sailing Santos","","0",""
"C0006954","1","SONIA","SONIA: ","Unknown","","1999-08-27 17:17","","Marine casualty","","Cork Harbour","","1","Unknown"
"C0002869","1","COASTAL SURVEYOR","COASTAL SURVEYOR: ","United Kingdom","Fish Catching","1999-08-27 00:00","","Marine casualty","","North Atlantic Ocean","","0",""
"C0002459","1","ANDRA (IMO 8330528)","ANDRA (IMO 8330528): ","Panama","Refrigerated Cargo","1999-08-27 00:00","","Marine casualty","","North Atlantic Ocean","","0",""
"C0002867","1","MEKHANIK KOTTSOV (IMO 8904410)","MEKHANIK KOTTSOV (IMO 8904410): ","Russian Federation","General Cargo","1999-08-26 00:00","","Marine casualty","","Kings Lynn Harbour","","0",""
"C0002463","1","UNION RICH (IMO 8203701)","UNION RICH (IMO 8203701): ","Panama","General Cargo","1999-08-25 00:00","","Marine casualty","","East China Sea","","0",""
"C0002393","1","KARTERIA (IMO 7375246)","KARTERIA (IMO 7375246): ","Malta","Bulk Dry","1999-08-25 00:00","","Marine casualty","","Proceeded to Ponta Delgada","","0",""
"C0002387","1","ICE STAR (IMO 9142631)","ICE STAR (IMO 9142631): ","Netherlands (Kingdom of)","General Cargo","1999-08-24 00:00","","Marine casualty","","Skelleftea","","0",""
"C0002357","2","EVER DECENT (IMO 9134244), NORWEGIAN DREAM (IMO 9008419)","EVER DECENT (IMO 9134244): , NORWEGIAN DREAM (IMO 9008419): ","Panama, Bahamas","Container, Passenger","1999-08-24 00:00","","Marine casualty","","eastern approaches to the Dover Strait","","1","Panama"
"C0002434","1","MELIKSAH (IMO 7706495)","MELIKSAH (IMO 7706495): ","Türkiye","Bulk Dry","1999-08-23 00:00","","Very serious marine casualty","","16 miles off Dondra Head","","0",""
"C0002392","1","HODO II (IMO 7032284)","HODO II (IMO 7032284): ","Honduras","Oil Tanker","1999-08-22 00:00","","Marine casualty","","at Berbera Oil Terminal","","0",""
"C0002388","1","SENKAKU MARU (IMO 7111274)","SENKAKU MARU (IMO 7111274): ","Japan","Non-ship structures","1999-08-21 00:00","","Marine casualty","","Near Bisan, Kochi Pref.","","0",""
"C0002461","1","SUN BREEZE (IMO 9197179)","SUN BREEZE (IMO 9197179): ","Panama","General Cargo","1999-08-21 00:00","","Marine casualty","","off Port of Bunbury","","1","Australia"
"C0002874","1","GERDA MARIA (IMO 8119522)","GERDA MARIA (IMO 8119522): ","Germany","Fish Catching","1999-08-18 00:00","","Marine casualty","","North Sea","","0",""
"C0003420","1","MANDARIN ARROW (IMO 9105035)","MANDARIN ARROW (IMO 9105035): ","Bahamas","General Cargo","1999-08-17 00:00","","Marine casualty","","Duncan Bay, British Columbia","","1","Canada"
"C0002456","2","MSC SARISKA (IMO 7107780), P&O NEDLLOYD CORFU (IMO 9145279)","MSC SARISKA (IMO 7107780): , P&O NEDLLOYD CORFU (IMO 9145279): ","Panama, Singapore","Container, Container","1999-08-17 00:00","","Marine casualty","","Beirut port entrance","","0",""
"C0002397","1","TARA (IMO 7393937)","TARA (IMO 7393937): ","Malta","Bulk Dry","1999-08-17 00:00","","Marine casualty","","Hatter Reef","","0",""
"C0002870","1","SPARTACUS","SPARTACUS: ","United Kingdom","Non-ship structures","1999-08-16 00:00","","Very serious marine casualty","","English Channel","","1","United Kingdom"
"C0002394","1","CONTSHIP HARMONY (IMO 9137894)","CONTSHIP HARMONY (IMO 9137894): ","Germany","Container","1999-08-15 00:00","","Marine casualty","","90 miles off Gulf of Aqaba","","0",""
"C0002416","1","FRAOCH BAN","FRAOCH BAN: ","United Kingdom","Fish Catching","1999-08-15 00:00","","Very serious marine casualty","","Off the coast of the Shetland Islands","","1","United Kingdom"
