summary_nr,report_id,event_date,event_time,event_desc,event_keyword,const_end_use,build_stories,nonbuild_ht,project_cost,project_type,sic_list,fatality,state_flag,abstract_text,load_dt
14412597,626600,1987-06-16 00:00:00,,Employee Struck by Falling Steel Hoses,"UNSECURED,DRILL PIPE,OIL WELL DRILLING,STRUCK BY,FALLING OBJECT,OIL RIG",,,,,,1381,X,,,2019-07-22 00:18:28 EDT
14412761,626600,1986-12-11 00:00:00,,"Two killed, two injured in oxygen deficient tank","OXYGEN DEFICIENCY,CONFINED SPACE,PPE,WORK RULES,FRAC TANK,INHALATION,NITROGEN",,,,,,1382,X,,,2019-07-22 00:18:28 EDT
14412951,627400,1987-10-30 00:00:00,,Employee killed when struck by spinning wrench,"HEAD,STUCK,WORK RULES,OIL WELL SERVICING,STRUCK BY,HAND TOOL",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14412969,627400,1984-11-08 00:00:00,,Employee killed when struck by wire rope,"HEAD,WIRE ROPE,OIL WELL DRILLING,EQUIPMENT FAILURE,BACK,STRUCK BY",,,,,,1381,X,,,2019-07-22 00:18:28 EDT
14413058,627400,1984-06-12 00:00:00,,ELECTRIC SHOCK - GROUND FAULT IN ELECTRIC PUMP,"ELECTRICAL,CORD SET,E GI VII,ELECTROCUTED,ELECTRIC PUMP,GROUND FAULT,WET OPERATION,EQUIPMENT GROUNDING,WATER",,,,,,1381,X,,,2019-07-22 00:18:28 EDT
14413066,627400,1974-07-16 00:00:00,,"One employee killed, two injured when struck by tongs","OIL WELL DRILLING,STRUCK BY,TONGS,FLYING OBJECT,HAND TOOL",,,,,,1381,X,,,2019-07-22 00:18:28 EDT
14413074,627400,1974-07-16 00:00:00,,Employee killed in trailer house fire,"BURN,BUTANE,FLAMMABLE VAPORS,FIRE,OIL WELL DRILLING,SMOKING,GAS LEAK",,,,,,1381,X,,,2019-07-22 00:18:28 EDT
14413157,627400,1984-08-15 00:00:00,,EMPLOYEE STRUCK BY RUPTURED TUBING COUPLING,"CHEST,RUPTURE,PRESSURE PIPING,OIL WELL SERVICING,STRUCK BY,FLYING OBJECT",,,,,,"1381,1389,1311",X,,,2019-07-22 00:18:28 EDT
14413223,627400,1985-08-21 00:00:00,,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BOOM,"BOOM TRUCK,OVERHEAD POWER LINE,ELECTRICAL,BOOM,ELECTROCUTED,E GI IA,TRUCK BOOM",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14413538,627400,1988-04-26 00:00:00,,Employee dies of asphyxia when pinned by pickup truck,"CHEST,ASPHYXIATED,BLOCKS,PINNED,WORK RULES,OIL WELL SERVICING,PICKUP TRUCK,FALLING OBJECT,JACK",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14413694,627400,1993-11-05 16:30:00,,Employee asphyxiated and killed while working in an oil well,"OXYGEN DEFICIENCY,RESPIRATORY,ASPHYXIATED,WORK RULES,INHALATION,UNTRAINED,CONFINED SPACE,FRAC TANK,NATURAL GAS,OIL WELL SERVICING",,,,,,"1799,1389",X,,,2019-07-22 00:18:28 EDT
14413710,627400,1994-02-10 17:15:00,,Employee dies of hydrogen sulfide asphyxiation,"ASPHYXIATED,HYDROGEN SULFIDE,GAS,OIL WELL SERVICING,ACCIDENTAL DISCHARGE",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14413728,627400,1989-08-21 00:00:00,,EMPLOYEE IS STRUCK BY EXPLODING PIPE NIPPLE,"HEAD,NATURAL GAS,PRESSURE PIPING,HIGH PRESSURE,OIL WELL SERVICING,STRUCK BY",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
