﻿OccNo,OccID,VesselID,VesselName,XrfOccVesselVictimCountID,ManuallyEnteredStatsIND,VictimMissing,VictimMinorInjuries,VictimSeriousInjuries,VictimDeath,TotalVesselInjuries,TotalPeopleInWater,PeopleInWaterWearingLSE,PeopleInWaterLseTypeID,PeopleInWaterLseTypeDisplayEng,PeopleInWaterLseTypeDisplayFre,PeopleInWaterNoLSE,PeopleInWaterDontKnowLSE
"M24P0072",51903,,"ASHORE/RIVAGE",19580,0,0,0,0,0,0,0,0,,,,0,0
"M24P0071",51902,,"ASHORE/RIVAGE",19594,0,0,0,0,0,0,0,0,,,,0,0
"M24A0064",51901,14902,"LADY CAROL I",19606,1,0,0,1,0,1,0,0,,,,0,0
"M24A0064",51901,,"ASHORE/RIVAGE",19605,0,0,0,0,0,0,0,0,,,,0,0
"M24A0063",51898,30751,"RAMBLE ON",19593,0,0,0,0,0,0,0,0,,,,0,0
"M24A0063",51898,,"ASHORE/RIVAGE",19592,0,0,0,0,0,0,0,0,,,,0,0
"M24A0062",51897,16916,"CRABS'R'US",19591,0,0,0,0,0,0,0,0,,,,0,0
"M24A0062",51897,,"ASHORE/RIVAGE",19590,0,0,0,0,0,0,0,0,,,,0,0
"M24A0061",51896,30750,"360 SHIFTER",19589,0,0,0,0,0,0,0,0,,,,0,0
"M24A0061",51896,,"ASHORE/RIVAGE",19588,0,0,0,0,0,0,0,0,,,,0,0
"M24A0060",51895,21407,"SAPUTI",19583,1,0,0,2,0,2,0,0,,,,0,0
"M24A0060",51895,,"ASHORE/RIVAGE",19582,0,0,0,0,0,0,0,0,,,,0,0
"M24C0029",51894,28808,"LADY ESTHER",19576,1,0,1,0,0,1,0,0,,,,0,0
"M24C0029",51894,,"ASHORE/RIVAGE",19575,0,0,0,0,0,0,0,0,,,,0,0
"M24A0059",51892,30748,"IT IS WHAT IT IS 2020",19573,0,0,0,0,0,0,0,0,,,,0,0
"M24A0059",51892,,"ASHORE/RIVAGE",19572,0,0,0,0,0,0,0,0,,,,0,0
"M24A0058",51891,30747,"HELL OR HIGH WATER",19571,0,0,0,0,0,0,0,0,,,,0,0
"M24A0058",51891,,"ASHORE/RIVAGE",19570,0,0,0,0,0,0,0,0,,,,0,0
"M24A0057",51890,23622,"ALEX & SISTERS",19565,0,0,0,0,0,0,0,0,,,,0,0
"M24A0057",51890,,"ASHORE/RIVAGE",19564,0,0,0,0,0,0,0,0,,,,0,0
"M24A0056",51888,29098,"KYLE SEA XVI",19567,0,0,0,0,0,0,0,0,,,,0,0
"M24A0056",51888,,"ASHORE/RIVAGE",19566,0,0,0,0,0,0,0,0,,,,0,0
"M24A0055",51887,29476,"RISKY BUSINESS 2012",19569,0,0,0,0,0,0,0,0,,,,0,0
"M24A0055",51887,,"ASHORE/RIVAGE",19568,0,0,0,0,0,0,0,0,,,,0,0
"M24A0054",51886,7181,"LE PETIT JEAN",19563,0,0,0,0,0,0,0,0,,,,0,0
"M24A0054",51886,,"ASHORE/RIVAGE",19562,0,0,0,0,0,0,0,0,,,,0,0
"M24P0069",51883,30745,"V DUE",19559,0,0,0,0,0,0,0,0,,,,0,0
"M24P0069",51883,,"ASHORE/RIVAGE",19558,0,0,0,0,0,0,0,0,,,,0,0
"M24P0068",51882,30746,"DOVRE B.",19561,0,0,0,0,0,0,0,0,,,,0,0
