RIG_NAME,VESSEL_TYPE,VESSEL_DESIGN,CONSTRUCTION_YEAR,UPGRADE_YEAR,CLASSIFICATION_SOCIETY,MAX_WATER_DEPTH_RATING_FT,MAX_DRILLING_DEPTH_FT,TOTAL_VESSEL_POWER_HP,QUARTERS_CAPACITY,LENGTH_FT,WIDTH_FT,OPERATING_DRAFT_FT,MAX_VARIABLE_LOAD_ST,DERRICK_RATING_KIPS,DRAWWORKS_HP,BOP_OPERATING_PRESSURE_KSI
SC LANCER,DS,Gusto Pelican Ice Class II,1977,2000,,4920,19680,,100,450,77,,,1000,3000,
WEST NAVIGATOR,DS,MST Converted to Drillship,2000,,DNV,8200,35000,43000,117,830,138,43,9900,1,,15
WEST PHOENIX,SS,Moss CS50 MkII,2008,,DNV,10000,30000,50500,128,273,239,77,6100,1,,15
WEST EMINENCE,SS,Moss CS50 MkII,2009,,DNV,10000,30000,50500,180,273,239,77,6100,1,,15
WEST SIRIUS,SS,"Friede & Goldman, ExD Class",2008,,ABS,10000,37500,50500,180,379,296,65.5,7000,2500,4500,15
WEST TAURUS,SS,"Friede & Goldman, ExD Class",2008,,ABS,10000,37500,50500,180,379,296,65.5,7000,2500,4500,15
WEST HERCULES,SS,GVA 7500,2008,,DNV,10000,35000,50500,180,382,317,75.5,7000,2000,4500,15
WEST AQUARIUS,SS,GVA 7500,2009,,DNV,10000,35000,50500,180,382,317,75.5,7000,2000,4500,15
WEST POLARIS,DS,"Samsung 10,000",2008,,ABS,10000,37500,64500,180,748,138,39.4,20000,1,5760,15
WEST CAPELLA,DS,"Samsung 10,000",2008,,ABS,10000,37500,64500,180,748,138,39.4,20000,1,5760,15
WEST ORION,SS,"Friede & Goldman, ExD Class",2010,,ABS,10000,37500,50500,180,379,296,65.5,7000,2500,4500,15
WEST CAPRICORN,SS,"Friede & Goldman, ExD Class",2011,,ABS,10000,37500,50500,180,379,296,65.5,7000,2500,4500,15
WEST PEGASUS,SS,Moss CS50 MkII,2011,,DNV,10000,35000,49300,192,387,239,77,6800,2000,5750,15
WEST LEO,SS,Moss CS50 MkII,2012,,DNV,10000,35000,49300,192,387,239,77,6800,2000,5750,15
WEST GEMINI,DS,"Samsung 10,000",2010,,ABS,10000,37500,64500,180,748,138,39.4,20000,1,5760,15
Sevan Driller,SS,Sevan 650,2009,,,12500,40000,,150,279,246,,,,,
SONGA ECLIPSE,SS,Friede & Goldman ExD,,,ABS,10000,40000,,164,244,244,,7000,,4500,15
STENA DRILLMAX,DS,Stena/Samsung,2007,,DNV,10000,35000,56300,180,748,137.8,39.4,22046,2000,,15
STENA CARRON,DS,Stena/Samsung,2008,,DNV,10000,35000,60000,180,748,137.8,39.4,22046,2000,,15
STENA FORTH,DS,Stena/Samsung,2009,,DNV,10000,35000,60000,180,748,137.8,39.4,22046,2000,,15
